experiment;name;min;max;mean;median;variance;standard_deviation;min_epochs;max_epochs;mean_epochs;median_epochs;var_epochs;std_epochs
0;ES10;0.75886;0.75886;0.75886;0.75886;0.0;0.0;18;18;18.0;18.0;0.0;0.0
1;ES100;0.72228;0.72228;0.72228;0.72228;0.0;0.0;102;102;102.0;102.0;0.0;0.0
2;ES1000;0.71187;0.71187;0.71187;0.71187;0.0;0.0;1002;1002;1002.0;1002.0;0.0;0.0
3;LR01;0.75098;0.75098;0.75098;0.75098;0.0;0.0;12;12;12.0;12.0;0.0;0.0
4;LR001;0.76111;0.76111;0.76111;0.76111;0.0;0.0;29;29;29.0;29.0;0.0;0.0
5;LR0001;0.75999;0.75999;0.75999;0.75999;0.0;0.0;191;191;191.0;191.0;0.0;0.0
6;LR00001;0.76055;0.76055;0.76055;0.76055;0.0;0.0;1794;1794;1794.0;1794.0;0.0;0.0
7;DO01;0.75605;0.75605;0.75605;0.75605;0.0;0.0;18;18;18.0;18.0;0.0;0.0
8;DO02;0.75689;0.75689;0.75689;0.75689;0.0;0.0;18;18;18.0;18.0;0.0;0.0
9;DO03;0.75943;0.75943;0.75943;0.75943;0.0;0.0;18;18;18.0;18.0;0.0;0.0
10;DO04;0.7583;0.7583;0.7583;0.7583;0.0;0.0;18;18;18.0;18.0;0.0;0.0
11;DO05;0.7583;0.7583;0.7583;0.7583;0.0;0.0;18;18;18.0;18.0;0.0;0.0
12;DO06;0.75914;0.75914;0.75914;0.75914;0.0;0.0;19;19;19.0;19.0;0.0;0.0
13;DO07;0.76252;0.76252;0.76252;0.76252;0.0;0.0;19;19;19.0;19.0;0.0;0.0
14;DO08;0.76083;0.76083;0.76083;0.76083;0.0;0.0;20;20;20.0;20.0;0.0;0.0
15;DO09;0.76393;0.76393;0.76393;0.76393;0.0;0.0;21;21;21.0;21.0;0.0;0.0
16;HD50;0.75914;0.75914;0.75914;0.75914;0.0;0.0;28;28;28.0;28.0;0.0;0.0
17;HD350;0.75746;0.75746;0.75746;0.75746;0.0;0.0;16;16;16.0;16.0;0.0;0.0
18;HD500;0.75802;0.75802;0.75802;0.75802;0.0;0.0;14;14;14.0;14.0;0.0;0.0
